Received Date,From,Email Subject,Message Content
2021-09-16 08:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-16 08:41:19+05:30,Support <support@mysmitch.com>,Your ticket #SM00065030 has been created.,text/plain; charset=ISO-8859-1
2021-09-16 07:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-16 07:35:32+05:30,CoinCodex <noreply@coincodex.com>,"⭐ Your Daily Crypto Recap (Sep 16, 2021).","multipart/alternative; 
	boundary=""----=_Part_45449_1528106618.1631757931606"""
2021-09-16 07:12:46+05:30,"""Citibank India"" <Service@indiacommunications.citi.com>","Dear Deepak S Nambiar, thank you for being an esteemed Citi customer. Exclusive cashback offer for you!","multipart/alternative;
	boundary=""BRMSsYnCpVvA=_?:"""
2021-09-16 07:00:02+05:30,Medium Daily Digest <noreply@medium.com>,"How to extract multiple tables from a PDF through python and
 tabula-py | Angelica Lo Duca in Analytics Vidhya",multipart/alternative; boundary=047cb2f3282a6e4f893f4245befe5f1a156d3e62a61550f0f656c3289b7f
2021-09-16 05:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-16 05:43:43+05:30,HDFC Bank InstaAlerts <alerts@hdfcbank.net>,View: Account update for your HDFC Bank A/c,"multipart/mixed; 
	boundary=""----=_Part_22457643_1036647418.1631751251819"""
2021-09-16 04:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-16 03:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-16 03:06:36+05:30,Vytautas Kaziukonis <ceo@mail.surfshark.com>,Growing past a VPN,"multipart/alternative; 
	boundary=""----=_Part_455014_1125416189.1631741794747"""
2021-09-16 02:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-16 01:52:48+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-16 01:01:03+05:30,"""ICICI Bank"" <services@custcomm.icicibank.com>","Get up to 20% instant discount on travel bookings, with ICICI Bank Cards.","multipart/alternative;
	boundary=""b1_1c7893145640f7e324f2f78bded79398"""
2021-09-16 00:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-15 23:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
