Received Date,From,Email Subject,Message Content
2021-09-14 18:57:14+05:30,=?ISO-8859-1?B?U0JJIENhcmQ=?= <updates@info.sbicreditcard.com>,How to make the most of your SBI Credit Card?,"text/html;
	charset=""ISO-8859-1"""
2021-09-14 18:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 18:43:08+05:30,HDFC Bank <informations@hdfcbank.net>,Convert your transaction of Rs. 13202,"text/html;
	charset=""utf-8"""
2021-09-14 17:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 17:30:26+05:30,"""Nomics.com News"" <news@nomics.com>","ETH Up 3.42%, Price analysis 9/13: BTC, ETH, ADA, BNB, XRP, SOL, DOT,
 DOGE, LUNA, UNI",multipart/related; boundary=c15e94eec735a7c1aa3fbb5df19b0cfd1ed6db3890baf1c84225a73b92ec
2021-09-14 16:55:59+05:30,"""Citibank India"" <Service@indiacommunications.citi.com>",Limited period offer on MakeMyTrip! Get up to 30% savings exclusively with Citi cards,"multipart/alternative;
	boundary=""A7gkVuf3xRjW=_?:"""
2021-09-14 16:52:46+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 16:40:51+05:30,Myntra <updates@myntra.com>,Just Launched: Myntra StyleCast!,"multipart/alternative;
	boundary=""b1_e290b9a6f4d565b7cf4e0ae65be55b02"""
2021-09-14 16:19:44+05:30,Google <no-reply@accounts.google.com>,Security alert,"multipart/alternative; boundary=""000000000000e18faa05cbf256ce"""
2021-09-14 15:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 14:52:47+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
2021-09-14 14:36:37+05:30,"""Integrated"" <customercare@integratedindia.in>",Invest Systematically to achieve your Financial Goals !,text/html; charset=UTF-8
2021-09-14 13:52:51+05:30,CoWIN Vaccine Tracker <dnambiar.mamba@gmail.com>,Vaccines are available in 6 centers,"text/plain; charset=""UTF-8""; format=flowed; delsp=yes"
